Company,City,Latitude,Longitude
Oracle,Malaga,36.7213028,-4.4216366
Oracle,Los Angeles,34.0536909,-118.242766
Oracle,Redwood City,37.4863239,-122.232523
Oracle,Waterloo,42.498275,-92.3328743
Oracle,Pune,18.521428,73.8544541
Oracle,Durham,35.996653,-78.9018053
Oracle,Nashua,42.7656251,-71.4677032
Oracle,Noida,28.5707841,77.3271074
Oracle,San Francisco,37.7790262,-122.419906
Oracle,Morrisville,47.88338804999999,-55.76861996265019
Oracle,Atlanta,33.7489924,-84.3902644
Oracle,Raleigh,35.7803977,-78.6390989
Oracle,Houston,29.7589382,-95.3676974
Oracle,Boston,42.3554334,-71.060511
Oracle,Barcelona,41.3828939,2.1774322
Oracle,Washington,38.8950368,-77.0365427
Oracle,Detroit,42.3315509,-83.0466403
Oracle,New York,40.7127281,-74.0060152
Oracle,Reston,38.9583737,-77.3579805
Oracle,San Ramon,41.7253374,1.363189
Oracle,Melbourne,-37.8142176,144.9631608
Oracle,Bengaluru,12.9767936,77.590082
Oracle,Toronto,43.6534817,-79.3839347
Oracle,Rocklin,38.7907339,-121.2357828
Oracle,Madrid,40.4167047,-3.7035825
Oracle,Bangalore,12.9767936,77.590082
Oracle,Colorado Springs,38.8339578,-104.825348
Oracle,Naples,40.8358846,14.2487679
Oracle,Vancouver,49.2608724,-123.113952
Oracle,Lagos,6.4550575,3.3941795
Oracle,Broomfield,39.9403995,-105.05208
Oracle,Charlotte,35.2272086,-80.8430827
Oracle,Stockholm,59.3251172,18.0710935
Oracle,Thiruvananthapuram,8.4882267,76.947551
Oracle,Brno,49.1922443,16.6113382
Oracle,Colorado City,32.3930337,-100.8635106
Oracle,Arlington,32.7355816,-97.1071186
Oracle,Foster City,37.5600336,-122.2688522
Oracle,Ashburn,39.0437192,-77.4874899
Oracle,Arvada,39.8005505,-105.0811573
Oracle,Pleasanton,37.6624312,-121.8746789
Oracle,Zapopan,20.7211203,-103.3913671
Oracle,Austin,30.2711286,-97.7436995
Oracle,Aspen,39.1911128,-106.8235606
Oracle,Minneapolis,44.9772995,-93.2654692
Oracle,Amsterdam,52.3727598,4.8936041
Oracle,San Mateo,37.5629997,-122.3253265
Oracle,Denver,39.7392364,-104.984862
Oracle,Seattle,47.6038321,-122.330062
Oracle,Zurich,47.3744489,8.5410422
Oracle,Dubai,25.2653471,55.2924914
Oracle,Mckinney,33.1976496,-96.6154471
Oracle,San Jose,37.3361663,-121.890591
Oracle,Bellevue,47.6144219,-122.192337
Oracle,Trivandrum,8.4882267,76.947551
Oracle,Reading,51.456659,-0.9696512
Oracle,Las Vegas,36.1672559,-115.148516
Oracle,Guadalajara,20.6720375,-103.338396
Oracle,Bucharest,44.4361414,26.1027202
Oracle,Sydney,-33.8698439,151.2082848
Oracle,Tokyo,35.6828387,139.7594549
Oracle,Singapore,1.2899175,103.8519072
Oracle,Orlando,28.5421109,-81.3790304
Oracle,Gurgaon,28.42826235,77.00270014657752
Oracle,Santa Clara,37.3541132,-121.955174
Oracle,Manchester,53.4794892,-2.2451148
Oracle,San Antonio,29.4246002,-98.4951405
Oracle,Hyderabad,17.360589,78.4740613
Oracle,Dallas,32.7762719,-96.7968559
Oracle,London,51.5073219,-0.1276474
Oracle,Oakland,37.8044557,-122.271356
Oracle,Burlington,44.4761601,-73.212906
Oracle,Portland,45.5202471,-122.674194
Oracle,Tel Aviv,32.0852997,34.7818064
Oracle,Beijing,39.906217,116.3912757
Oracle,Tampa,27.9477595,-82.458444
Oracle,San Rafael,37.9735346,-122.5310874
Oracle,Sunnyvale,37.3688301,-122.036349
